index,id,name,artists,danceability,duration_ms,energy,instrumentalness,liveness,popularity,speechiness
85,3XQn3gTkAicy8Ge4SWshXh,Serene Backdrops for 2021,['Classy Cafe Jazz Music'],0.67,135047,0.0294,0.935,0.115,0,0.373
86,5f7MdwR02i1Lxy9TLi80SA,MAZZA (feat. A$AP Rocky),"['slowthai', 'A$AP Rocky']",0.672,171867,0.63,0,0.167,73,0.285
87,4EBY0Hc5Bxj6UrbeHtberS,Luxurious Jazz Piano Solo - Vibe for 2021,['French Cafe Jazz Lounge'],0.599,154366,0.00727,0.596,0.093,0,0.122
88,4EBY0Hc5Bxj6UrbeHtberS,Luxurious Jazz Piano Solo - Vibe for 2021,['French Cafe Jazz Lounge'],0.599,154366,0.00727,0.596,0.093,0,0.122
89,2of7QgRNb40ARwTGmT6uYb,Carefree 2021,['Classy Cafe Jazz Music'],0.675,151580,0.011,0.933,0.108,0,0.0853
90,2of7QgRNb40ARwTGmT6uYb,Carefree 2021,['Classy Cafe Jazz Music'],0.675,151580,0.011,0.933,0.108,0,0.0853
91,1aDWqDD1FnqGp8nrV8IwjE,OMW,['BeatStrumentalz'],0.471,194280,0.683,0.811,0.149,0,0.0344
92,1aDWqDD1FnqGp8nrV8IwjE,OMW,['BeatStrumentalz'],0.471,194280,0.683,0.811,0.149,0,0.0344
93,1aDWqDD1FnqGp8nrV8IwjE,OMW,['BeatStrumentalz'],0.471,194280,0.683,0.811,0.149,0,0.0344
94,1aDWqDD1FnqGp8nrV8IwjE,OMW,['BeatStrumentalz'],0.471,194280,0.683,0.811,0.149,0,0.0344
95,2mJvAihCmjQs6EDPQ1ZWYS,Delightful Ambiance for New Years Resolutions,['Light Jazz Coffee House'],0.798,113685,0.0401,0.934,0.0864,2,0.0696
96,2mJvAihCmjQs6EDPQ1ZWYS,Delightful Ambiance for New Years Resolutions,['Light Jazz Coffee House'],0.798,113685,0.0401,0.934,0.0864,2,0.0696
97,6lVI3OMl5wSMD5ok1k3ojN,Chicharrón,"['Guaynaa', 'Cauty']",0.734,195867,0.789,0.0000966,0.498,0,0.454
98,4y0b1Tw4AnHt1ko8c2s7Zz,Chicharrón,"['Guaynaa', 'Cauty']",0.734,195867,0.789,0.0000966,0.498,0,0.454
99,2J0JnNPy7ZkYuKi01JDBY6,Chicharrón,"['Guaynaa', 'Cauty']",0.734,195867,0.789,0.0000966,0.498,0,0.454
100,0aSTa75VvnRzUSjlETrgnu,Chicharrón,"['Guaynaa', 'Cauty']",0.734,195867,0.789,0.0000966,0.498,0,0.454
101,1BGpfUnXGM6v3IEQ7EYnSH,Money Chasin,['TON Jayy'],0.692,164907,0.631,0,0.0786,0,0.403
102,1BGpfUnXGM6v3IEQ7EYnSH,Money Chasin,['TON Jayy'],0.692,164907,0.631,0,0.0786,0,0.403
103,6mpvRPFvsWWn326jiYhVJw,Guardian of the Sea,"['Mysterious World Music', 'Relaxing Zen Music Ensemble']",0.21,148814,0.00405,0.924,0.113,0,0.0438
104,6mpvRPFvsWWn326jiYhVJw,Guardian of the Sea,"['Mysterious World Music', 'Relaxing Zen Music Ensemble']",0.21,148814,0.00405,0.924,0.113,0,0.0438
105,2zkBsMhW8QVSkDdwbrRBy4,Guardian of the Sea,['Oriental Music Zone'],0.21,148814,0.00405,0.924,0.113,0,0.0438
106,2zkBsMhW8QVSkDdwbrRBy4,Guardian of the Sea,['Oriental Music Zone'],0.21,148814,0.00405,0.924,0.113,0,0.0438
107,4nWUhqeiuWGnXujrWXh0tF,Money Chasin',['TON Jayy'],0.671,164937,0.599,0,0.06,0,0.409
108,4nWUhqeiuWGnXujrWXh0tF,Money Chasin',['TON Jayy'],0.671,164937,0.599,0,0.06,0,0.409
109,4UcyhbrIxdnDu2PDq75Q1M,Easy Moods for 2021,['Cafe Jazz Relax'],0.558,113685,0.0292,0.95,0.103,9,0.0833
110,4UcyhbrIxdnDu2PDq75Q1M,Easy Moods for 2021,['Cafe Jazz Relax'],0.558,113685,0.0292,0.95,0.103,9,0.0833
111,38e5dPBOEyeTMYadrQArs3,Excellent 2021,['Restaurant Music Deluxe'],0.692,148979,0.0326,0.924,0.0763,1,0.507
112,38e5dPBOEyeTMYadrQArs3,Excellent 2021,['Restaurant Music Deluxe'],0.692,148979,0.0326,0.924,0.0763,1,0.507
113,6Fz4qKRgm7NXyZQktwK50n,Remember and Yet More Pink Noises and Sounds for the New Year,['White Noise Baby Sleep Music'],0.146,37000,0.306,0.627,0.102,8,0.0902
114,6Pd3Y6fkUcNIZ3d4O2Wj7D,Jazz Piano Soundtrack for 2021,['Relaxing Piano Music Girl'],0.66,136069,0.0157,0.778,0.123,18,0.305
115,6Pd3Y6fkUcNIZ3d4O2Wj7D,Jazz Piano Soundtrack for 2021,['Relaxing Piano Music Girl'],0.66,136069,0.0157,0.778,0.123,18,0.305
116,2kIr4nvx2KkxOZwKP6wNBb,Holding Back the Years,"['Piano Love Songs', 'First Date Background Music Consort']",0.64,192208,0.237,0.968,0.14,1,0.063
117,7DEXnpz1r8LEJKli8cbs9L,Wishful Christmas,"['Christmas Carols', 'Christmas Music and Holiday Hits', 'Christmas Classics Collection']",0.227,181000,0.0604,0.669,0.111,0,0.0415
118,4PM8jXMbCrcJ2ojw4wl1Sq,Wicked Ambience for 2021,['Classy Cafe Jazz Music'],0.761,105604,0.032,0.875,0.127,0,0.058
